# id:13--728--91 
0,-75.058740108736
1,-119.08642803084
2,-124.88632116593
3,10.276762063626
4,-158.19653488552
5,23.13215114898
6,-60.737730467635
7,-119.13114571038
8,-112.84613412966
9,-214.24492766545
10,-123.26832481542
11,-135.19947572858
12,-155.20742807201
13,-232.35083866161
14,-86.231875737332
15,-197.30325748785
16,-193.67838707397
17,-238.96214852433
18,-60.674599223957
19,-5.3427468036727
20,-130.40300058724
21,-307.55704127903
22,-169.16212984899
23,-205.50401940412
24,-188.03541735156
25,-264.47346217858
26,-252.60340529266
27,-391.46200724345
28,-161.22044451321
29,-311.12860052121
30,-332.3021512076
31,-282.41046385365
32,-146.24729405542
33,-213.14710077692
34,-312.52050505002
35,-346.57006615481
36,-345.73759508502
37,-326.42832054951
38,-399.26046376461
39,-313.31397703508
40,-328.95352533892
41,-444.00200475235
42,-301.99257232623
43,-440.26023313116
44,-411.57415531387
45,-334.16888105924
46,-409.72969106509
47,-362.66695327853
48,-431.99120961117
49,-303.44833241528
50,-400.7580904786
51,-274.21674025409
52,-345.27657282097
53,-374.45328790547
54,-424.26379333242
55,-475.65641712913
56,-434.42089158873
57,-229.59887921996
58,-579.0784721063
59,-471.19130122228
60,-449.44205564116
61,-474.40487763153
62,-338.61914984881
63,-586.64698979879
64,-656.92223741173
65,-591.95625624422
66,-461.64991440492
67,-528.86213580299
68,-651.9861959832
69,-545.32235788684
70,-602.19894979546
71,-532.05321224682
72,-459.15160548497
73,-511.91785074851
74,-576.58840462191
75,-615.00760031032
76,-426.91671317607
77,-614.44834763121
78,-655.37432383241
79,-606.33045636312
80,-580.4600903552
81,-697.52906036456
82,-618.64649113112
83,-613.58653435168
84,-752.50789942769
85,-695.28283442493
86,-673.92019822649
87,-657.02397845608
88,-754.05309085377
89,-641.32597319493
90,-674.20316463665
91,-762.90966588349
92,-671.75713564322
93,-717.56569824521
94,-770.5290965046
95,-676.49548774217
96,-669.60828149745
97,-699.07647732587
98,-814.51569879564
99,-910.3375905951
100,-763.19393690593
101,-761.21152215927
102,-748.84062480173
103,-693.15653201849
104,-738.15200988435
105,-831.44843908072
106,-666.65022334118
107,-793.04438039694
108,-710.8823581915
109,-857.66893245027
110,-829.03017938315
111,-751.86365438989
112,-862.91854700655
